N;DENSITY;SEED;EMBEDGREEDY_HOSTS;EMBEDBALANCED_HOSTS;EMBEDPARTITION_HOSTS;METIS_HOSTS;METIS_HOST_CPU_OVERCOMMITMENT;METIS_HOST_MEMORY_OVERCOMMITMENT;METIS_HOST_LINK_OVERCOMMITMENT;METIS_MAX_CPU_OVERCOMMITMENT;METIS_MAX_MEMORY_OVERCOMMITMENT;METIS_MAX_LINK_OVERCOMMITMENT;RANDOM_HOSTS;RANDOM_HOST_CPU_OVERCOMMITMENT;RANDOM_HOST_MEMORY_OVERCOMMITMENT;RANDOM_HOST_LINK_OVERCOMMITMENT;RANDOM_MAX_CPU_OVERCOMMITMENT;RANDOM_MAX_MEMORY_OVERCOMMITMENT;RANDOM_MAX_LINK_OVERCOMMITMENT;ROUNDROBIN_HOSTS;ROUNDROBIN_HOST_CPU_OVERCOMMITMENT;ROUNDROBIN_HOST_MEMORY_OVERCOMMITMENT;ROUNDROBIN_HOST_LINK_OVERCOMMITMENT;ROUNDROBIN_MAX_CPU_OVERCOMMITMENT;ROUNDROBIN_MAX_MEMORY_OVERCOMMITMENT;ROUNDROBIN_MAX_LINK_OVERCOMMITMENT;SWITCHBIN_HOSTS;SWITCHBIN_HOST_CPU_OVERCOMMITMENT;SWITCHBIN_HOST_MEMORY_OVERCOMMITMENT;SWITCHBIN_HOST_LINK_OVERCOMMITMENT;SWITCHBIN_MAX_CPU_OVERCOMMITMENT;SWITCHBIN_MAX_MEMORY_OVERCOMMITMENT;SWITCHBIN_MAX_LINK_OVERCOMMITMENT
35;0,2;74;11;16;14;19;0;0;0;0;0;0;23;2;1;2;12,5;16,66666667;97,5;25;1;1;3;18,75;16,66666667;93,4;25;0;0;3;0;0;77,2
35;0,3;74;9;14;11;17;1;0;0;58,33333333;0;0;23;1;2;6;68,75;91,66666667;109,2;25;0;0;5;0;0;158,2;25;1;0;3;75;0;70,5
35;0,4;74;11;16;14;17;2;1;1;12,5;25;37,1;23;1;0;6;56,25;0;131,3;25;0;0;8;0;0;144,3;25;2;0;7;28,125;0;92,4
35;0,5;74;12;-1;15;20;0;0;2;0;0;31,2;24;2;0;10;33,33333333;0;294,8;25;0;0;11;0;0;228,5;25;1;1;9;93,75;179,1666667;139,7
35;0,1;75;12;16;16;20;1;0;0;41,66666667;0;0;25;2;0;1;25;0;22,3;25;0;0;0;0;0;0;25;2;1;0;71,875;10,41666667;0
35;0,2;75;11;15;13;21;1;0;0;34,375;0;0;22;0;0;3;0;0;86,3;25;1;1;3;18,75;25;132,1;25;2;1;2;25;41,66666667;20,4
35;0,3;75;11;-1;13;17;1;0;0;33,33333333;0;0;25;1;0;5;12,5;0;231;25;2;1;5;25;50;140,4;25;1;1;4;20,83333333;4,166666667;31,3
35;0,4;75;11;-1;13;19;0;0;0;0;0;0;25;4;1;8;68,75;29,16666667;304,8;25;2;1;7;31,25;8,333333333;145,7;25;0;1;6;0;33,33333333;106,3
35;0,5;75;11;-1;14;18;1;0;1;62,5;0;115,4;24;0;1;7;0;20,83333333;361;25;1;0;9;6,25;0;217,9;25;3;0;9;21,875;0;144,6
35;0,1;76;11;19;14;19;0;0;0;0;0;0;24;1;0;0;3,125;0;0;25;0;0;0;0;0;0;25;1;0;0;62,5;0;0
35;0,2;76;10;19;13;18;2;0;0;25;0;0;22;0;0;2;0;0;85,6;25;1;0;3;6,25;0;61,3;25;3;0;1;9,375;0;6,4
35;0,3;76;10;22;13;18;1;0;0;12,5;0;0;21;0;2;4;0;83,33333333;187,2;25;1;0;5;31,25;0;91,6;25;2;0;4;15,625;0;44,2
35;0,4;76;11;-1;14;18;0;0;0;0;0;0;24;1;0;6;18,75;0;102,9;25;1;1;5;6,25;4,166666667;141,7;25;1;0;2;8,333333333;0;77,7
35;0,5;76;11;22;14;19;0;0;2;0;0;30,2;22;1;2;9;18,75;37,5;189,9;25;0;0;7;0;0;189,8;25;3;1;7;6,25;50;165,7
35;0,1;77;11;16;14;20;1;0;0;4,166666667;0;0;23;1;0;1;50;0;11,6;25;1;0;2;12,5;0;23,4;25;2;0;0;20,83333333;0;0
35;0,2;77;10;15;14;18;1;0;0;4,166666667;0;0;23;0;0;1;0;0;58,4;25;1;0;2;6,25;0;59,3;25;2;0;2;15,625;0;112,3
35;0,3;77;11;16;14;17;1;0;0;37,5;0;0;23;2;1;3;40,625;4,166666667;110,9;25;0;1;4;0;33,33333333;70;25;2;1;3;37,5;87,5;95,9
35;0,4;77;12;-1;15;19;1;0;0;3,125;0;0;24;3;1;7;37,5;37,5;175;25;0;0;6;0;0;109,8;25;1;0;7;15,625;0;118,8
35;0,5;77;12;-1;15;19;1;0;2;9,375;0;43,3;23;3;0;8;31,25;0;267,1;25;0;1;8;0;37,5;153,6;25;2;1;8;43,75;62,5;153,7
35;0,1;78;11;19;14;19;0;0;0;0;0;0;25;1;1;2;75;8,333333333;37,5;25;2;1;2;25;16,66666667;11,2;25;1;0;1;15,625;0;30
35;0,2;78;10;16;12;18;1;1;0;50;83,33333333;0;24;2;1;4;31,25;108,3333333;99,3;25;0;0;4;0;0;47,5;25;2;0;1;12,5;0;22
35;0,3;78;10;16;12;17;2;0;0;28,125;0;0;22;3;0;6;45,83333333;0;369,1;25;0;1;4;0;4,166666667;108,3;25;1;1;4;156,25;116,6666667;72,3
35;0,4;78;11;-1;14;19;1;0;1;20,83333333;0;18,2;23;1;0;5;12,5;0;279,5;25;0;0;6;0;0;116,4;25;2;1;7;34,375;10,41666667;112,3
35;0,5;78;11;16;13;16;2;0;0;70,83333333;0;0;23;2;2;7;62,5;108,3333333;382,8;25;0;0;8;0;0;187,5;25;2;1;6;28,125;37,5;149,7
35;0,1;79;10;14;11;18;0;0;0;0;0;0;25;1;0;1;31,25;0;17,1;25;0;0;1;0;0;1;25;1;0;1;31,25;0;11
35;0,2;79;11;16;11;19;0;0;0;0;0;0;22;1;0;3;20,83333333;0;185,6;25;1;0;3;12,5;0;23,4;25;0;0;3;0;0;30
35;0,3;79;10;16;14;16;1;0;1;3,125;0;27,5;24;2;2;6;68,75;25;143,6;25;0;1;6;0;16,66666667;89,6;25;1;0;4;3,125;0;102,3
35;0,4;79;10;12;12;15;1;1;1;3,125;29,16666667;17,2;25;2;1;8;37,5;116,6666667;263,8;25;0;0;10;0;0;165,5;25;3;0;7;15,625;0;130,4
35;0,5;79;11;16;-1;17;2;0;1;18,75;0;3,2;24;2;1;8;62,5;83,33333333;263,6;25;0;0;9;0;0;149,5;25;0;0;7;0;0;253,7
35;0,1;80;12;19;19;20;0;1;0;0;8,333333333;0;25;1;0;1;25;0;22,3;25;0;1;1;0;25;26,1;25;2;0;1;28,125;0;15,2
